CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
join_eu_mal_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_mal_desc; ;;;;;;;;;;;;;x
join_eu_slo_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_slo_desc; ;;;;;;;;;;;;;x
join_eu_hun_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_hun_desc; ;;;;;;;;;;;;;x
join_eu_lit_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_lit_desc; ;;;;;;;;;;;;;x
join_eu_lit_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_lit_desc; ;;;;;;;;;;;;;x
join_eu_slk_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_slk_desc; ;;;;;;;;;;;;;x
join_eu_pol_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_pol_desc; ;;;;;;;;;;;;;x
join_eu_czk_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_czk_desc; ;;;;;;;;;;;;;x
join_eu_est_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_est_desc; ;;;;;;;;;;;;;x
join_eu_lat_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_lat_desc; ;;;;;;;;;;;;;x
join_eu_cyp_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_cyp_desc; ;;;;;;;;;;;;;x
join_eu_rom_title;§BJoin the European Union§W;;;;;;;;;;;;;x
join_eu_rom_desc; ;;;;;;;;;;;;;x
join_eu_bul_title;§BJoin the European Union§b;;;;;;;;;;;;;x
join_eu_bul_desc; ;;;;;;;;;;;;;x
non_permanant_shuffle_title;New non permanent seats in the Security Council;;;;;;;;;;;;;x
