##################################################;;;;;;;;;;;;;;x
# Abilities;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
MAX_STRENGTH;Max Strength;Puissance max;Max. Stärke;;Fuerza máxima;;;;;;;;;x
DEFAULT_ORG;Organisation;Organisation;Organisation;;Organización;;;;;;;;;x
DEFAULT_MORALE;Morale;Moral;Moral;;Moral;;;;;;;;;x
BUILD_COST_IC;IC Build Cost;Coût de construction CI;IK-Baukosten;;Coste de construcción en CI;;;;;;;;;x
BUILD_COST_MP;Manpower Cost;Coût en main d'œuvre;Mannstärke-Kosten;;Coste rec. hum.;;;;;;;;;x
BUILD_TIME;Build Time;Durée de construction;Bauzeit;;Tiempo cons.;;;;;;;;;x
MAXIMUM_SPEED;Max Speed;Vitesse max;Max. Geschw.;;Velocidad máxima;;;;;;;;;x
TRANSPORT_WEIGHT;Weight;Poids;Gewicht;;Peso;;;;;;;;;x
SUPPLY_CONSUMPTION;Supply Consumption;Consommation en ravitaillement;Nachschubverbrauch;;Consumo suministros;;;;;;;;;x
FUEL_CONSUMPTION;Fuel Consumption;Consommation en carburant;Treibstoffverbrauch;;Consumo combustible;;;;;;;;;x
DEFENSIVENESS;Defensiveness;Capacités défensives;Verteidigungskraft;;Defensa;;;;;;;;;x
TOUGHNESS;Toughness;Résistance;Zähigkeit;;Resistencia;;;;;;;;;x
SOFTNESS;Softness;Faiblesses;Schwäche;;Debilidad;;;;;;;;;x
AIR_DEFENCE;Air Defence;Défense aérienne;Luftverteidigung;;Defensa aérea;;;;;;;;;x
SUPPRESSION;Suppression;Répression;Unterdrückung;;Neutralización;;;;;;;;;x
SOFT_ATTACK;Soft Attack;Attaque de cibles non blindées;Angr. auf ungep. Ziele;;Ataque antipersonal;;;;;;;;;x
HARD_ATTACK;Hard Attack;Attaque de cibles blindées;Angr. auf gep. Ziele;;Ataque anticarro;;;;;;;;;x
AIR_ATTACK;Air Attack;Attaque aérienne;Angr. auf Luftziele;;Ataque aéreo;;;;;;;;;x
COMBAT_WIDTH;Combat Width;Aire de combat;Gefechtsbreite;;Anchura de combate;;;;;;;;;x
GDE_FROM_TECH;Ground Defence Efficiency;Efficacité de la défense au sol;Bodenverteidigungseffizienz;;Eficacia defensa terrestre;;;;;;;;;x
DIGIN_FROM_TECH;Dig-In Cap;Capacité à se retrancher;Max. Eingrabung;;Cap. antrinch.;;;;;;;;;x
ATTACK_DELAY_FROM_TECH;Delay between attacks reduced with;Temps entre les attaques réduit par;Verzögerung zw. Angriffen reduziert um;;Retraso entre ataques reducido con;;;;;;;;;x
AD_HOURS;hours;heures;Stunden;;horas;;;;;;;;;x
DIVISION_SIZE_FROM_TECH;Allowed Brigades in Division;Brigades autorisées dans la division;Erlaubte Brigadenzahl in Division;;Brigadas permitidas en división;;;;;;;;;x
SUPPLY_TRANSFER_COST_TECH;Supply Transfer Cost;Coût du transfert du ravitaillement;Nachschub-Transferkosten;;Coste de transferencia de suministros;;;;;;;;;x
SUPPLY_THROUGHPUT_TECH;Supply Throughput;Capacité en ravitaillement;Nachschubdurchsatz;;Rendimiento de los suministros;;;;;;;;;x
REFINERY_EFFICIENCY_TECH;Refining Efficiency;Efficacité du raffinage;Raffinierungseffizienz;;Rendimiento del refinado;;;;;;;;;x
RADAR_EFFICIENCY_TECH;Radar Efficiency;Efficacité radar;Radareffizienz;;Eficacia de radares;;;;;;;;;x
RADIO_STRENGTH_TECH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x
DECRYPTION_TECH;Decryption Ability;Capacité en décryptage;Dekodierungsfähigkeit;;Capacidad de descifrado;;;;;;;;;x
ENCRYPTION_TECH;Encryption Ability;Capacité en cryptage;Kodierungsfähigkeit;;Capacidad de cifrado;;;;;;;;;x
INTEL_OP_US_TECH;Intel ops;Ops de renseignements;Spionageaktionen;;Operaciones de inteligencia;;;;;;;;;x
INTEL_OP_THEM_TECH;Counterintel ops;Ops de contre-renseignements;Gegenspionageaktionen;;Operaciones de contrainteligencia;;;;;;;;;x
CONVOY_COST_TECH;Convoy Build Cost;Coût de construction du convoi;Konvoi-Baukosten;;Coste de construcción de convoy;;;;;;;;;x
CONVOY_TIME_TECH;Convoy Build Time;Durée de construction du convoi;Konvoi-Bauzeit;;Tiempo de construcción de convoy;;;;;;;;;x
ESCORT_COST_TECH;Escort Build Cost;Coût de construction de l'escorte;Eskorte-Baukosten;;Coste de construcción de escolta;;;;;;;;;x
ESCORT_TIME_TECH;Escort Build Time;Durée de construction de l'escorte;Eskorte-Bauzeit;;Tiempo de construcción de escolta;;;;;;;;;x
UNIT_COOP_TECH;Unit Cooperation;Coopération de l'unité;Einheitenkooperation;;Cooperación de unidades;;;;;;;;;x
COMBINED_ARMS_TECH;Combined Arms Bonus;Bonus pour les armes combinées;Bonus für Op. verb. Kräfte;;Bonificación por interarma;;;;;;;;;x
REINFORCE_CHANCE_TECH;Combat Reinforcement Chance;Probabilité d'arrivée de renforts en combat;Verstärkungswahrscheinlichkeit;;Probabilidad de refuerzos de combate;;;;;;;;;x
ATTACK_MOVEMENT_SPEED_TECH;Attack Movement;Mouvement d'attaque;Angriffsgeschwindigkeit;;Movimiento de ataque;;;;;;;;;x
ENABLE_UNIT_TECH;Researching this technology will allow us to manufacture and operate our own units of this type. \nIf the cost is too high, we shoud consider purchasing a production license for;Permettre la construction de;Bau ermöglichen von;;Permitir la construcción de;;;;;;;;;x
ENABLE_BUILDING_TECH;Allow construction of;Permettre la construction de;Bau ermöglichen von;;Permitir la construcción de;;;;;;;;;x
TRANSPORT_CAPABILITY;Transport Capability;Capacité de transport;Transportfähigkeit;;Capacidad de transporte;;;;;;;;;x
RANGE;Range;Rayon d'action;Reichweite;;Radio de acción;;;;;;;;;x
DISTANCE;Distance;Distance;Entfernung;;Distancia;;;;;;;;;x
SURFACE_DETECTION;Surface Detection;Détection de surface;Oberflächenortung;;Detec. superficie;;;;;;;;;x
AIR_DETECTION;Air Detection;Détection aérienne;Luftortung;;Detec. aérea;;;;;;;;;x
SUB_DETECTION;Sub Detection;Détection sous-marine;Unterwasserortung;;Detección sub.;;;;;;;;;x
VISIBILITY;Visibility;Visibilité;Sichtbarkeit;;Visibilidad;;;;;;;;;x
SEA_DEFENCE;Sea Defence;Défense navale;Seeverteidigung;;Def. marítima;;;;;;;;;x
CONVOY_ATTACK;Convoy Attack;Attaque du convoi;Konvoiangriff;;Ataque a convoy;;;;;;;;;x
SEA_ATTACK;Sea Attack;Attaque navale;Seeangriff;;Ataque marítimo;;;;;;;;;x
SUB_ATTACK;Sub Attack;Attaque sous-marine;Unterwasserangriff;;Ataque sub.;;;;;;;;;x
SHORE_BOMBARDMENT;Shore Bombardment;Bombardement côtier;Küstenbombardement;;Bombardeo costero;;;;;;;;;x
SURFACE_DEFENCE;Surface Defence;Défense en surface;Oberflächenverteidigung;;Defensa superf.;;;;;;;;;x
STRATEGIC_ATTACK;Strategic Attack;Attaque stratégique;Strategischer Angriff;;Ataque estrat.;;;;;;;;;x
RADIO_STRENGTH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x
HULL;Hull;Coque;Rumpf;;Casco;;;;;;;;;x
POSITIONING;Positioning;Positionnement;Positionierung;;Despliegue;;;;;;;;;x
ALLOW_ESCORTS_TECH;Allows construction of convoy escorts;Permet la construction d'escortes pour les convois;Bau von Konvoi-Geleitschiffen ermöglichen;;Permite la construcción de escoltas para convoyes;;;;;;;;;x
ESCORT_EFFICIENCY_TECH;Escort Efficiency;Efficacité de l'escorte;Geleitschiff-Effizienz;;Rendimiento de la escolta;;;;;;;;;x
TARGET_CHOICE_TECH;Target Choice;Choix de la cible;Zielwahl;;Selección de objetivo;;;;;;;;;x
TARGET_CHANCE_TECH;Target Chance;Probabilité d'atteinte de la cible;Zielwahl;;Probabilidad de objetivo;;;;;;;;;x
NAVAL_BASE_EFF_TECH;Naval Base Efficiency;Efficacité de la base navale;Marinebasis-Effizienz;;Rendimiento de base naval;;;;;;;;;x
CASUALTY_TRICKLEBACK_TECH;Casualty Trickleback;Évacuation des victimes;Verwundetenrückkehr;;Goteo de vuelta de bajas;;;;;;;;;x
MAX_ATTRITION_TECH;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x
MANPOWER_GAIN_TECH;Manpower;Main d'œuvre;Mannstärke;;Rec. hum.;;;;;;;;;x
IC_MOD_TECH;IC;CI;IK;;Aco Iro;;;;;;;;;x
IC_EFFICIENCY_TECH;IC Efficiency;Efficacité CI;IK-Effizienz;;Rendimiento de CI;;;;;;;;;x
ENERGY_TO_OIL_TECH;Energy to Oil;Énergie en pétrole;Energie zu Öl;;Energía en combustible;;;;;;;;;x
IC_TO_SUPPLIES_TECH;Supplies Production;Production de ravitaillement;Nachschubproduktion;;Producción de suministros;;;;;;;;;x
PROV_AA_TECH;Provincial AA Efficiency;Efficacité DCA provinciale;Provinzielle Flak-Effizienz;;Eficacia de la AA provincial;;;;;;;;;x
COMBAT_EFF_TECH;Combat Efficiency;Efficacité au combat;Kampfeffizienz;;Eficacia en combate;;;;;;;;;x
RESEARC_EFF_TECH;Research Efficiency;Efficacité des recherches;Forschungseffizienz;;Rendimiento de la investigación;;;;;;;;;x
METAL_PROD_TECH;Metal Production;Production de métaux;Metallproduktion;;Producción de metal;;;;;;;;;x
RARES_PROD_TECH;Rare Materials Production;Production de matériaux rares;Prod. seltener Materialien;;Producción de materiales raros;;;;;;;;;x
ENERGY_PROD_TECH;Energy Production;Production d'énergie;Energieproduktion;;Producción de energía;;;;;;;;;x
LEADERSHIP_GAIN_TECH;Leadership;Leadership;Führung;;Liderazgo;;;;;;;;;x
NIGHT_ADJUSTER;Night;Nuit;Nacht;;Noche;;;;;;;;;x
FORT_ADJUSTER;Fort;Fort;Fort;;Fuerte;;;;;;;;;x
RIVER_ADJUSTER;River;Fleuve;Fluss;;Río;;;;;;;;;x
AMPH_ADJUSTER;Amphibious;Amphibie;Amphibisch;;Anfibio;;;;;;;;;x
UA_ATTACK;Attack;Attaque;Angriff;;Ataque;;;;;;;;;x
UA_DEFENCE;Defence;Défense;Verteidigung;;Defensa;;;;;;;;;x
UA_MOVEMENT;Movement;Mouvement;Bewegung;;Movimiento;;;;;;;;;x
UA_ATTRITION;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x
NUKE_PROD_GAIN_TECH;Nuclear Production;Production nucléaire;Atomare Prod.;;Producción nuclear;;;;;;;;;x
ORD_RED; Organisation Penalty;Pénalité d'organisation; Organisationsabzug;; Penalización a la organización;;;;;;;;;x
ORD_EFF; Efficiency;Efficacité; Effizienz;; Rendimiento;;;;;;;;;x
RADAR_IMPACT_TECH;Radar Combat Impact;Impact du radar sur le combat;Radard-Gefechtseinfluss;;Impacto del radar en combate;;;;;;;;;x
REPAIR_RATE_TECH;Repair Rate;Taux de réparation;Reparaturgeschwindigkeit;;Velocidad de reparación;;;;;;;;;x
BOMBER_TARGET_TECH;Bomber Target Selection;Sélection de la cible du bombardier;Bomber-Zielauswahl;;Selección de objetivos de bombardero;;;;;;;;;x
FIGHTER_TARGET_TECH;Fighter Target Selection;Sélection de la cible du chasseur;Jäger-Zielauswahl;;Selección de objetivos de caza;;;;;;;;;x
FRONTLINE_FOCUS_TECH;Frontline Target Focus;Cible ligne de front;Fronttruppen-Hauptziele;;Prioridad de objetivos del frente;;;;;;;;;x
RESERVE_FOCUS_TECH;Reserves Target Focus;Cible réserves;Reserven-Hauptziele;;Prioridad de objetivos de la reserva;;;;;;;;;x
NAVAL_AIR_TARGET_CHANCE_TECH;Naval Bombing Target Chance;Probabilité d'atteinte de la cible par bombardement naval;Marinebombardement - Trefferwahrsch.;;Oportunidad de objetivo de bombardeo naval ;;;;;;;;;x
CARRIER_CAPACITY;Carrier CAG size;Taille du groupe aérien embarqué;Trägergeschwader-Größe;;Portaaviones tamaño GAE;;;;;;;;;x
LISTENING_STATION_TECH;Allow radar installations to work as listening stations;Permettre aux installations radar d'opérer en tant que stations d'écoute;Radareinr. ermöglichen, als Horchposten zu fungieren;;Permitir que los puestos de radar actúen como puestos de escucha;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Theories and Practicals;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
supersonicflight_theory;Supersonic Flight Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x
supersonicflight_practical;Supersonic Flight Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x
unmanedarmy_theory;Unmanned Combat Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x
unmanedarmy_practical;Unmanned Combat Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x
satelitetech_theory;Satelite Technology Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x
satelitetech_practical;Satelite Technology Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x
infantry_theory;Infantry Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x
infantry_practical;Infantry Practical;Connaissances prat. infanterie;Infanterie-Praxis;;Práctica de la infantería;;;;;;;;;x
militia_theory;Militia Theory;Théorie de la milice;Miliz-Theorie;;Teoría de la milicia;;;;;;;;;x
militia_practical;Militia Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x
mobile_theory;Mobile Unit Theory;Théorie de l'unité mobile;Mobile Einheiten-Theorie;;Teoría de la unidad de maniobra;;;;;;;;;x
mobile_practical;Mobile Unit Practical;Connaissances pratiques de l'unité mobile;Mobile Einheiten-Praxis;;Práctica de la unidad de maniobra;;;;;;;;;x
artillery_theory;Artillery Theory;Théorie de l'artillerie;Artillerie-Theorie;;Teoría de la artillería;;;;;;;;;x
artillery_practical;Artillery Practical;Connaissances pratiques de l'artillerie;Artillerie-Praxis;;Práctica de la artillería;;;;;;;;;x
rocket_science;Rocket Science;Fuséologie;Raketen-Theorie;;Técnica de cohetes;;;;;;;;;x
rocket_practical;Rocket Practical;Connaissances pratiques en fuséologie;Raketen-Praxis;;Práctica de cohetes;;;;;;;;;x
naval_engineering;Naval Engineering;Ingénierie navale;Marine-Ingenieurswesen;;Ingeniería naval;;;;;;;;;x
destroyer_practical;Destroyer Practical;Connaissances pratiques des destroyers;Zerstörer-Praxis;;Práctica de destructores;;;;;;;;;x
cruiser_practical;Cruiser Practical;Connaissances pratiques des croiseurs;Kreuzer-Praxis;;Práctica de cruceros;;;;;;;;;x
capitalship_practical;Capital Ship Practical;Connaissances pratiques des navires capitaux;Großkampfschiff-Praxis;;Práctica de la gran unidad;;;;;;;;;x
carrier_practical;Aircraft Carrier Practical;Connaissances pratiques des porte-avions;Flugzeugträger-Praxis;;Práctica de portaaviones;;;;;;;;;x
submarine_engineering;Submarine Engineering;Ingénierie sous-marine;U-Boot-Ingenieurswesen;;Ingeniería submarina;;;;;;;;;x
submarine_practical;Submarine Practical;Connaissances pratiques des sous-marins;U-Boot-Praxis;;Práctica submarina;;;;;;;;;x
electornicegineering_theory;Electronic Engineering Theory;Théorie d'ingénierie électronique;Elektrotechnik-Theorie;;Teoría de ingeniería electrónica;;;;;;;;;x
electornicegineering_practical;Electronic Engineering Practical;Connaissances pratiques en génie électronique;Elektrotechnik-Praxis;;Práctica de ingeniería electrónica;;;;;;;;;x
automotive_theory;Automotive Theory;Théorie de l'autopropulsion;Automobil-Theorie;;Teoría del automóvil;;;;;;;;;x
armour_practical;Armour Practical;Connaissances pratiques du blindage;Panzer-Praxis;;Práctica del blindaje;;;;;;;;;x
aeronautic_engineering;Aeronautical Engineering;Ingénierie aéronautique;Flugingenieurwesen;;Ingeniería aeronáutica;;;;;;;;;x
single_engine_aircraft_practical;Helicopter Practical;Connaissances pratiques des avions légers;Jagdflugzeug-Praxis;;Práctica de aviones ligeros;;;;;;;;;x
twin_engine_aircraft_practical;Medium Bomber Practical;Connaissances pratiques des bombardiers moyens;Mittlere Bomber-Praxis;;Práctica de bombardero medio;;;;;;;;;x
four_engine_aircraft_practical;Heavy Aircraft Practical;Connaissances pratiques des avions lourds;Schwere Bomber-Praxis;;Práctica de bombardero pesado;;;;;;;;;x
spearhead_theory;Spearhead Doctrine;Doctrine du fer de lance;Blitzkrieg-Doktrin;;Doctrina de punta de ataque;;;;;;;;;x
superior_firepower_theory;Superior Firepower Doctrine;Doctrine de la puissance de feu dominante;Feuerüberlegenheit-Doktrin;;Doctrina de la potencia de fuego superior;;;;;;;;;x
grand_battleplan_theory;Grand Battleplan Doctrine;Doctrine du meilleur plan de bataille;Großer Schlachtplan-Doktrin;;Doctrina del plan de la gran batalla;;;;;;;;;x
human_wave_theory;Human Wave Doctrine;Doctrine de la vague humaine;Menschenwelle-Doktrin;;Doctrina de la oleada humana;;;;;;;;;x
land_doctrine_theory;Land Doctrine Theory;Théorie de la doctrine terrestre;Landdoktrin-Theorie;;Teoría de la doctrina de tierra;;;;;;;;;x
land_doctrine_practical;Land Combat Experience;Expérience en combat terrestre;Bodenkampferfahrung;;Experiencia en combate terrestre;;;;;;;;;x
naval_doctrine_practical;Naval Combat Experience;Expérience en combat naval;Seekampferfahrung;;Experiencia en combate naval;;;;;;;;;x
base_strike_doctrine;Base Strike Doctrine;Doctrine de Frappe de la base;Doktrin des Basisangriffs;;Doctrina del ataque a base;;;;;;;;;x
fleet_in_being_doctrine;Fleet in Being Doctrine;Doctrine du parc naval;Doktrin der Flottenpräsenz;;Doctrina de la flota en potencia;;;;;;;;;x
sealane_interdiction_doctrine;Sealane Interdiction Doctrine;Doctrine d'interdiction du couloir de navigation;Doktrin der Seewegsabriegelung;;Doctrina de la interceptación de rutas marítimas;;;;;;;;;x
air_doctrine_practical;Air Combat Experience;Expérience en combat aérien;Luftkampferfahrung;;Experiencia en combate aéreo;;;;;;;;;x
fighter_focus;Fighter Focus;Objectif chasseur;Fokus auf Jagdflugzeuge;;Prioridad de los cazas;;;;;;;;;x
cas_focus;Close Air Support Focus;Objectif soutien aérien rapproché;Fokus auf Luftnahunterstützung;;Prioridad del apoyo aéreo;;;;;;;;;x
tac_focus;Tactical Airpower Focus;Objectif puissance aérienne tactique;Fokus auf taktische Luftüberlegenheit;;Prioridad del poder aéreo táctico;;;;;;;;;x
nav_focus;Naval Aviation Focus;Objectif aviation navale;Fokus auf Marineflieger;;Prioridad de la aviación naval;;;;;;;;;x
strategic_air_focus;Strategic Airpower Focus;Objectif puissance aérienne stratégique;Fokus auf strategische Luftüberlegenheit;;Prioridad del poder aéreo estratégico;;;;;;;;;x
mechanicalengineering_theory;Mechanical Engineering;Génie mécanique;Maschinenbau;;Ingeniería mecánica;;;;;;;;;x
chemical_engineering;Genetic Engineering;Génie chimique;Verfahrenstechnik;;Ingeniería química;;;;;;;;;x
jetengine_theory;Jet Engine Theory;Théorie sur le réacteur;Strahltriebwerk-Theorie;;Teoría del motor a reacción;;;;;;;;;x
jetengine_practical;Jet Engine Practical;Connaissances pratiques du réacteur;Strahltriebwerk-Praxis;;Práctica del motor a reacción;;;;;;;;;x
nuclear_physics;Nuclear Physics;Physique nucléaire;Atomphysik;;Física nuclear;;;;;;;;;x
nuclear_bomb;Nuclear Bomb Making;Fabrication de bombe nucléaire;Atombombenherstellung;;Producción de bomba nuclear;;;;;;;;;x
transport_practical;Transport Practical;Connaissances pratiques des transports;Transport-Praxis;;Práctica del transporte;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Folders;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
infantry_folder;Infantry Types;;;;;;;;;;;;;x
infantry_equip_folder;Infantry Survival Gear;;;;;;;;;;;;;;x
infantry_weapons_folder;Infantry Weapons & Equipment;;;;;;;;;;;;;;x
infantry_doctrines_folder;Infantry Doctrines;;;;;;;;;;;;;;x
armour_folder;Armour Types;;;;;;;;;;x
armour_engines_folder;Armour Engines & Armor;;;;;;;;;;x
armour_weapons_folder;Armour Weapons & Systems;;;;;;;;;;x
armour_doctrines_folder;Armour Doctrines;;;;;;;;;;x
artillery_folder;Artillery Types;;;;;;;;;;x
mwbomber_folder;Bomber Types;;;;;;;;;;x
bomber_engines_folder;Bomber Engines & Systems;;;;;;;;;;x
bomber_weapons_folder;Bomber Weapons;;;;;;;;;;x
bomber_doctrines_folder;Bomber Doctrines;;;;;;;;;;x
mwfighter_folder;Fighter Types;;;;;;;;;;x
fighter_engines_folder;Fighter Engines & Systems;;;;;;;;;;x
fighter_weapons_folder;Fighter Weapons;;;;;;;;;;x
fighter_doctrines_folder;Fighter Doctrines;;;;;;;;;;x
capship_folder;Capital Ships;;;;;;;;;;x
capship_engines_folder;Capital Engines;;;;;;;;;;x
capship_weapons_folder;Capital Weapons;;;;;;;;;;x
capship_doctrines_folder;Capital Doctrines;;;;;;;;;;x
escortship_folder;Escort Craft;;;;;;;;;;x
smallship_engines_folder;Escort Engines;;;;;;;;;;x
smallship_weapons_folder;Escort Weapons;;;;;;;;;;x
smallship_doctrines_folder;Escort Doctrines;;;;;;;;;;x
industry_folder;Fighter Doctrines;;;;;;;;;;x
secretweapon_folder;Fighter Doctrines;;;;;;;;;;x
theory_folder;Fighter Doctrines;;;;;;;;;;x
land_doctrine_folder;Fighter Doctrines;;;;;;;;;;x
naval_doctrine_folder;Fighter Doctrines;;;;;;;;;;x
air_doctrine_folder;Fighter Doctrines;;;;;;;;;;x
strategic_folder;Strategic Missiles;;;;;;;;;;x
conventional_rockets_folder;Strategic Missile Upgrades;;;;;;;;;;x
nuclear_rockets_folder;Nuclear Weapons Development;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Top Buttons;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
TECH_INFANTRY;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;x
TECH_ARMOUR;Armour;Blindés;Panzer;;Blindaje;;;;;;;;;x
TECH_ARTILLERY;Artillery;Blindés;Panzer;;Blindaje;;;;;;;;;x
TECH_BOMBER;Bomber;Bombard.;Bomber;;Bombard.;;;;;;;;;x
TECH_FIGHTER;Fighter;Chasseur;Jäger;;Caza;;;;;;;;;x
TECH_ESCORTS;Escorts;Escortes;Geleitschiff;;Escoltas;;;;;;;;;x
TECH_CAPITAL;Capital;Amiraux;Großschiff;;Capital;;;;;;;;;x
TECH_INDUSTRY;Industry;Industrie;Industrie;;Industria;;;;;;;;;x
TECH_NUCLEAR;Strategic;Secret;Geheim;;Secreto;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Infantry Techs;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
mw_police_brigade;Police Brigade;;;;;;;;;;;;;;x
mw_police_brigade_desc;Military police are concerned with law enforcement (including criminal investigation) on military property and concerning military personnel, installation security, close personal protection of senior military officers, management of prisoners of war, management of military prisons, traffic control, route signing and resupply route management.;;;;;;;;;;;;;;x
mw_engineer_brigade;Engineer Brigade;;;;;;;;;;;;;;x
mw_engineer_brigade_desc;A combat engineer, also called pioneer or sapper in many armies, is a soldier who performs a variety of construction and demolition tasks under combat conditions. Such tasks typically include constructing and breaching trenches, tank traps and other fortifications, bunker construction, bridge and road construction or destruction, laying or clearing land mines, and other physical work in the battlefield.;;;;;;;;;;;;;;x
mw_garrison_brigade;Garrison Brigade;;;;;;;;;;;;;;x
mw_engineer_brigade_desc;A combat engineer, also called pioneer or sapper in many armies, is a soldier who performs a variety of construction and demolition tasks under combat conditions. Such tasks typically include constructing and breaching trenches, tank traps and other fortifications, bunker construction, bridge and road construction or destruction, laying or clearing land mines, and other physical work in the battlefield.;;;;;;;;;;;;;;x
mw_garrison_brigade;Garrison Brigade;;;;;;;;;;;;;;x
mw_garrison_brigade_desc;Garrison is the collective term for a body of troops stationed in a particular location, originally to guard it, but now often simply using it as a home base. The garrison is usually in a city, town, fort, castle or similar.;;;;;;;;;;;;;;x
mw_militia_brigade;Militia Brigade;;;;;;;;;;;;;;x
